,Rank,Title,Singer
0,1,Vampire,Olivia Rodrigo
1,2,Last Night,Morgan Wallen
2,3,Fast Car,Luke Combs
3,4,Calm Down,Rema & Selena Gomez
4,5,Flowers,Miley Cyrus
5,6,All My Life,Lil Durk Featuring J. Cole
6,7,Cruel Summer,Taylor Swift
7,8,Fukumean,Gunna
8,9,Karma,Taylor Swift Featuring Ice Spice
9,10,Favorite Song,Toosii
10,11,Flooded The Face,Lil Uzi Vert
11,12,Kill Bill,SZA
12,13,Snooze,SZA
13,14,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
14,15,Ella Baila Sola,Eslabon Armado X Peso Pluma
15,16,Sure Thing,Miguel
16,17,Need A Favor,Jelly Roll
17,18,Anti-Hero,Taylor Swift
18,19,Something In The Orange,Zach Bryan
19,20,Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
20,21,You Proof,Morgan Wallen
21,22,Die For You,The Weeknd & Ariana Grande
22,23,Thinkin' Bout Me,Morgan Wallen
23,24,Cupid,Fifty Fifty
24,25,Suicide Doors,Lil Uzi Vert
25,26,La Bebe,Yng Lvcas x Peso Pluma
26,27,Memory Lane,Old Dominion
27,28,Next Thing You Know,Jordan Davis
28,29,Dance The Night,Dua Lipa
29,30,Religiously,Bailey Zimmerman
30,31,Aye,Lil Uzi Vert Featuring Travis Scott
31,32,Un x100to,Grupo Frontera X Bad Bunny
32,33,Thought You Should Know,Morgan Wallen
33,34,Eyes Closed,Ed Sheeran
34,35,Barbie World,Nicki Minaj & Ice Spice With Aqua
35,36,I'm Good (Blue),David Guetta & Bebe Rexha
36,37,Dancin' In The Country,Tyler Hubbard
37,38,Search & Rescue,Drake
38,39,Where She Goes,Bad Bunny
39,40,Chemical,Post Malone
40,41,Put It On Da Floor Again,Latto Featuring Cardi B
41,42,Sabor Fresa,Fuerza Regida
42,43,Tulum,Peso Pluma & Grupo Frontera
43,44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
44,45,Bury Me In Georgia,Kane Brown
45,46,Area Codes,Kali
46,47,Love You Anyway,Luke Combs
47,48,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
48,49,I Gotta,Lil Uzi Vert
49,50,Party In The U.S.A.,Miley Cyrus
50,51,Spin Again,Lil Uzi Vert
51,52,Crush Em,Lil Uzi Vert
52,53,X2,Lil Uzi Vert
53,54,TQM,Fuerza Regida
54,55,Princess Diana,Ice Spice & Nicki Minaj
55,56,Oh U Went,Young Thug Featuring Drake
56,57,Mojabi Ghost,Tainy & Bad Bunny
57,58,Stand By Me,Lil Durk Featuring Morgan Wallen
58,59,Luna,Peso Pluma & Junior H
59,60,Pluto To Mars,Lil Uzi Vert
60,61,Bye,Peso Pluma
61,62,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
62,63,Peaches & Eggplants,Young Nudy Featuring 21 Savage
63,64,Your Heart Or Mine,Jon Pardi
64,65,"Mama, I'm Sorry",Lil Uzi Vert
65,66,What It Is (Block Boy),Doechii Featuring Kodak Black
66,67,Amped,Lil Uzi Vert
67,68,"You, Me, & Whiskey",Justin Moore & Priscilla Block
68,69,Daylight,David Kushner
69,70,Patience,Lil Uzi Vert Featuring Don Toliver
70,71,Nakamura,Lil Uzi Vert
71,72,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
72,73,TQG,Karol G x Shakira
73,74,Popular,"The Weeknd, Playboi Carti & Madonna"
74,75,Mourning,Post Malone
75,76,All Alone,Lil Uzi Vert
76,77,Rubicon,Peso Pluma
77,78,Died And Came Back,Lil Uzi Vert
78,79,Por Las Noches,Peso Pluma
79,80,Attention,Doja Cat
80,81,Werewolf,Lil Uzi Vert Featuring Bring Me The Horizon
81,82,El Azul,Junior H x Peso Pluma
82,83,Everything I Love,Morgan Wallen
83,84,Cowgirls,Morgan Wallen Featuring ERNEST
84,85,Waffle House,Jonas Brothers
85,86,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
86,87,Watermelon Moonshine,Lainey Wilson
87,88,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie"
88,89,Fragil,Yahritza y Su Esencia x Grupo Frontera
89,90,See You Again,"Tyler, The Creator Featuring Kali Uchis"
90,91,Truck Bed,HARDY
91,92,Zoom,Lil Uzi Vert
92,93,That Fiya,Lil Uzi Vert
93,94,We Didn't Start The Fire,Fall Out Boy
94,95,Fight The Feeling,Rod Wave
95,96,Ain't That Some,Morgan Wallen
96,97,Lagunas,Peso Pluma & Jasiel Nunez
97,98,Dial Drunk,Noah Kahan
98,99,Save Me,Jelly Roll With Lainey Wilson
99,100,Jaded,Miley Cyrus
